Title,Price,Rating,No. of Reviews,Width,Thickness,Weight,Height,Sales Package,model number,model name,Shape,Color,Touchscreen?,Water resistant?,Sensor,Battery Type,Charge Time,Battery Life,Warranty,Warranty Service Information,Covered in warranty,Not covered in warranty
"Fire-Boltt Ninja Talk 35.3mm (1.39) Round Bluetooth Calling Metal Body,120 Sports Modes Smartwatch  (Dark Grey SS Strap, 1.39)","₹1,899","3,65,539 Ratings","61,455 Reviews",39 mm,9.8 mm,36.8 g,9.8 mm,"Smartwatch, Charging Cable, Manual, Warranty Card",BSW136,"Ninja Talk 35.3mm (1.39) Round Bluetooth Calling Metal Body,120 Sports Modes",Round,Grey,Yes,Yes,Heart Rate,Lithium Ion,120 Min,Upto 5 days,Covers Manufacturing Defects,Customer Support,Manufacturing Defects,
"boAt Enigma Daze Women's Luxury Watch w/ SOS Location Tracker & 1.3''(3.3 cm) Screen Smartwatch  (Metallic Silver Strap, Free Size)","₹1,999",,,,,,,"1 Smart Watch, Charging Cable, User Manual, Warranty Card",Enigma Daze,Enigma Daze Women's Luxury Watch w/ SOS Location Tracker & 1.3''(3.3 cm) Screen,Round,Silver,Yes,Yes,"HR, SpO2, G-sensor",,,7 Days,1 Year Warranty,"Carry-in, If Customer Any Query or Complaint Please Reach Out to Us at info@imaginemarketingindia.com or Call on +912269181920",Manufacturing Defects,
"Cult Ace X1 2.04"" Amoled Display,1000 NITS, Bluetooth Calling, 300mAh Battery, AOD Smartwatch  (Gun Metal Grey Strap, Free Size)","₹2,499","1,931 Ratings",286 Reviews,,,,,"Smartwatch, Charging Cable, User Manual, Warranty Card, cult.sport Voucher",CSW08,"Ace X1 2.04"" Amoled Display,1000 NITS, Bluetooth Calling, 300mAh Battery, AOD",Rectangle,Grey,Yes,Yes,"SpO2, Heart Rate Sensor, Accelerometer, Barometer, Pedometer,",,120 min,Upto 7 Days,Covers Manufacturing Defects,Please reach out to us at hello@cultsport.com or 1800-572-6303/1800-572-6402 for warranty claims,Manufacturing Defects,
"Fire-Boltt Expedition GPS Inbuilt, Bluetooth Calling 35.3mm (1.39) Display & 120+ Sports Smartwatch  (Creamy White Strap, Free Size)","₹2,099","13,672 Ratings","2,330 Reviews",39 mm,9.8 mm,50 g,39 mm,"Smartwatch, Charging Cable, Manual, Warranty Card",BSW185,"Expedition GPS Inbuilt, Bluetooth Calling 35.3mm (1.39) Display & 120+ Sports",Round,White,Yes,Yes,"SpO2, Heart Rate Sensor",Lithium Ion,120 min,Upto 7 Days,Covers Manufacturing Defects,Contact infocare@boltt.com to Claim Warranty. Replacement Will Be Given by the Brand Against Manufacturing Defects.,Manufacturing Defects,
"Fire-Boltt Obsidian 33.5mm (1.3 inch) AMOLED, Bluetooth Calling, Stainless Steel Design Smartwatch  (Black Strap, Free Size)","₹2,299",465 Ratings,56 Reviews,45.1 mm,13 mm,60 g,13 mm,"Smartwatch, Charging Cable, Manual, Warranty Card",BSW210,"Obsidian 33.5mm (1.3 inch) AMOLED, Bluetooth Calling, Stainless Steel Design",Round,Black,Yes,Yes,"Heart Rate, SpO2, Pedometer",Lithium Ion,180 min,Upto 6 Days,,Customer Support,Manufacturing Defects,
"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch  (Silver Strap, Free Size)","₹1,599","95,233 Ratings","7,301 Reviews",,,,6 mm,"User Manual, Smartwatch, Charging Cable,Warranty Card",Crown,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",Square,Silver,Yes,Yes,"Real Heart rate, SPO2, Pedometer",Lithium Polymer,150 min,Upto 5 Days,1 Year Warranty from the date of purchase,Contact : Ph : (+91)9555602502 / Mail : support@boultaudio.com,Any kind of technical issue,
"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch  (Black Strap, Free Size)","₹1,399","95,233 Ratings","7,301 Reviews",,,,6 mm,"User Manual, Smartwatch, Charging Cable,Warranty Card",Crown,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",Square,Black,Yes,Yes,"Real Heart rate, SPO2, Pedometer",Lithium Polymer,150 min,Upto 5 Days,1 Year Warranty from the date of purchase,Contact : Ph : (+91)9555602502 / Mail : support@boultaudio.com,Any kind of technical issue,
"Noise Icon 3 Plus with 2"" HD Display, Metal Dial, Functional Crown Smartwatch  (Elite Black Strap, Regular)","₹1,599","7,526 Ratings",588 Reviews,,,,,"Smartwatch, Magnetic Charger, User Manual, Warranty Card",wrb-sw-colorfiticon3plus-mtl-blk_blk,"Icon 3 Plus with 2"" HD Display, Metal Dial, Functional Crown",Rectangle,Black,Yes,Yes,"Heart Rate, SpO2",,,Upto 7 days,1 Year Warranty from the date of purchase,Contact - help@nexxbase.com | support.gonoise.com | 02268056040,Warranty is applicable on manufacturing defects for all the products for 1 Year and accessories (If any) for 3 months from the date of purchase.,
"Fastrack Revoltt FS1,46.9mm HD Display,Working Crown,Advance Chipset,BT Calling,IP68,SOS Smartwatch  (Blue Strap, Free Size)","₹1,599","2,92,000 Ratings","19,220 Reviews",,,43 g,,"1 SmartWatch, Charging Cable, User Manual, Warranty Card",38152PP02K,"Revoltt FS1,46.9mm HD Display,Working Crown,Advance Chipset,BT Calling,IP68,SOS",Square,Blue,Yes,Yes,Heart Rate & SpO2,Lithium Polymer,120 min,Upto 5 Days,1 Year Warranty,Carry-in,Manufacturing Defects,
"Boult CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Alloy Frame, IP67, SpO2 Tracking Smartwatch  (Black Strap, Free Size)","₹2,198","27,881 Ratings","1,978 Reviews",47 mm,13 mm,56.5 g,46 mm,"Smartwatch, User Manual, Charging Cable, Warranty Card",Crown R Pro,"CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Alloy Frame, IP67, SpO2 Tracking",Round,Black,Yes,Yes,"Real Heart Rate, Real SPO2, Pedometer",Lithium Polymer,150 min,Upto 7 Days,1 Year Warranty from the Date of Purchase,Repair or Replace,Any Kind of Technical Issue,
"Cult Velocity with Built-in Turbo Track GPS,1.4'' AMOLED Display, Compass, BT Calling Smartwatch  (Sporty Green Strap, Free Size)","₹2,299",789 Ratings,187 Reviews,,,,,"Smartwatch, Charging Cable, User Manual, Warranty Card",CS805074,"Velocity with Built-in Turbo Track GPS,1.4'' AMOLED Display, Compass, BT Calling",Round,Green,Yes,Yes,"SpO2, Heart Rate Sensor, Accelerometer, Barometer, Pedometer",,120 min,Upto 7 Days,Covers Manufacturing Defects,Please reach out to us at hello@cultsport.com or 1800-572-6303/1800-572-6402 for warranty claims,Manufacturing Defects,
"Cult Velocity with Built-in Turbo Track GPS,1.4'' AMOLED Display, Compass, BT Calling Smartwatch  (Black Strap, Free Size)","₹2,299",789 Ratings,187 Reviews,,,,,"Smartwatch, Charging Cable, User Manual, Warranty Card",CS805072,"Velocity with Built-in Turbo Track GPS,1.4'' AMOLED Display, Compass, BT Calling",Round,Black,Yes,Yes,"SpO2, Heart Rate Sensor, Accelerometer, Barometer, Pedometer",,120 min,Upto 7 Days,Covers Manufacturing Defects,Please reach out to us at hello@cultsport.com or 1800-572-6303/1800-572-6402 for warranty claims,Manufacturing Defects,
"Cult Ace X1 2.04"" Amoled Display,1000 NITS, Bluetooth Calling, 300mAh Battery, AOD Smartwatch  (Charcoal Grey Strap, Free Size)",₹999,"1,931 Ratings",286 Reviews,,,,,"Smartwatch, Charging Cable, User Manual, Warranty Card, cult.sport Voucher",CSW08,"Ace X1 2.04"" Amoled Display,1000 NITS, Bluetooth Calling, 300mAh Battery, AOD",Rectangle,Grey,Yes,Yes,"SpO2, Heart Rate Sensor, Accelerometer, Barometer, Pedometer,",,120 min,Upto 7 Days,Covers Manufacturing Defects,Please reach out to us at hello@cultsport.com or 1800-572-6303/1800-572-6402 for warranty claims,Manufacturing Defects,
"Boult Drift BT Calling HD Display, 140+ Watchfaces, Complete Health Monitoring Smartwatch  (Gunmetal Strap, Free Size)","₹1,499","2,92,730 Ratings","17,819 Reviews",35.78 mm,11.6 mm,45 g,44.17 mm,"Smartwatch, Charging Cable, User Manual",Drift,"Drift BT Calling HD Display, 140+ Watchfaces, Complete Health Monitoring",Rectangle,Black,Yes,Yes,"Real Heart Rate, Real SPO2, Pedometer",Lithium Polymer,150 Min,Upto 7 Days,Repair or Replace,Repair or Replace,Any kind of technical issue,
"alt OG Bluetooth Calling, 1.69"" HD Display with AI Voice Assistant, Built-in Games Smartwatch  (Berry Blue Strap, Regular)",₹999,"43,890 Ratings","3,912 Reviews",,,,,"Smartwatch, Magnetic Charger, User Manual, Warranty Card",wrb-sw_alt-og-std-slv_blu,"OG Bluetooth Calling, 1.69"" HD Display with AI Voice Assistant, Built-in Games",Square,Blue,Yes,Yes,"Accelerometer, Heart Rate, SpO2",,,7 Days,1 Year Manufacturer Warranty,Contact- help@alt-smart.com | alt-smart.com | 01243633987,Manufacturing Defects,
"Boult CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Alloy Frame, IP67, SpO2 Tracking Smartwatch  (Chrome Rig Strap, Free Size)","₹2,399","27,881 Ratings","1,978 Reviews",,,,,"Smartwatch, Charging Cable, User Manual, Warranty Card",Crown R Pro,"CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Alloy Frame, IP67, SpO2 Tracking",Round,Black,Yes,Yes,"Real Heart Rate, Real SPO2, Pedometer",Lithium Polymer,,Upto 7 Days,1 Year Warranty from the Date of Purchase,Repair or Replace,Any Kind of Technical Issue,
"Fire-Boltt Ninja Pro Max Ultra 2 BT Call, 51.1mm (2.0) Display, 600 NITS Brightness Smartwatch  (Red Strap, 2.01Inch)","₹1,399","20,212 Ratings","2,751 Reviews",39 mm,9.8 mm,56.1 g,9.8 mm,"Smartwatch, Charging Cable, Manual, Warranty Card",BSW227,"Ninja Pro Max Ultra 2 BT Call, 51.1mm (2.0) Display, 600 NITS Brightness",Square,Red,Yes,Yes,"Single Chipset Bluetooth Calling, Voice Assistance, Heart rate measurement (whole day heart rate), blood oxygen measurement and sleep monitoring, and upload app to save data synchronously Accelerometer, Barometer, Gyro Sensor, Light Sensor.",Lithium Ion,180 min,Without Bluetooth Calling Function 6 Days With Bluetooth Calling Function 2 Days | 15 Days Standby Mode,Covers Manufacturing Defects,Customer Support,Manufacturing Defects,
"Cult Velocity with Built-in Turbo Track GPS,1.4'' AMOLED Display, Compass, BT Calling Smartwatch  (Sporty Grey Strap, Free Size)","₹2,299",789 Ratings,187 Reviews,,,,,"Smartwatch, Charging Cable, User Manual, Warranty Card",CSW24,"Velocity with Built-in Turbo Track GPS,1.4'' AMOLED Display, Compass, BT Calling",Round,Grey,Yes,Yes,"SpO2, Heart Rate Sensor, Accelerometer, Barometer, Pedometer",,120 min,Upto 7 Days,Covers Manufacturing Defects,Please reach out to us at hello@cultsport.com or 1800-572-6303/1800-572-6402 for warranty claims,Manufacturing Defects,
"Apple Watch Series 10 GPS + Cellular 42mm Jet Black Aluminium with Black Sport Band  (Jet Black Strap, Free Size)","₹56,900",7 Ratings,1 Reviews,36 mm,9.7 mm,29.3 g,,"Apple Watch Series 10, Strap, Apple Watch Magnetic Fast Charger to USB-C Cable (1 m)",MWX63HN/A,Watch Series 10 GPS + Cellular 42mm Jet Black Aluminium with Black Sport Band,Rectangle,Black,Yes,Yes,"Electrical heart sensor, Third‑generation optical heart sensor, Temperature sensor1, Blood Oxygen sensor2, Compass, Always‑on altimeter, High‑g accelerometer, High dynamic range gyroscope, Ambient light sensor, Depth gauge, Water temperature sensor",Lithium Ion,,Upto 18 Hours On Normal Use,1 Year Manufacturer Warranty,Carry In,Manufacturing Defects,
"boAt Enigma Daze Women's Luxury Watch w/ SOS Location Tracker & 1.3''(3.3 cm) Screen Smartwatch  (Beige Strap, Free Size)","₹1,999",,,,,,,"1 Smart Watch, Charging Cable, User Manual, Warranty Card",Enigma Daze,Enigma Daze Women's Luxury Watch w/ SOS Location Tracker & 1.3''(3.3 cm) Screen,Round,Beige,Yes,Yes,"HR, SpO2, G-sensor",,,7 Days,1 Year Warranty,"Carry-in, If Customer Any Query or Complaint Please Reach Out to Us at info@imaginemarketingindia.com or Call on +912269181920",Manufacturing Defects,
"Fire-Boltt Oracle WristPhone - 4G SIM/LTE/WiFi, Android OS, Play store & Phone Notification Smartwatch  (Onyx Wave Strap, Free Size)","₹4,199","7,322 Ratings","1,357 Reviews",43.3 mm,14.68 mm,50 g,14.68 mm,"Smartwatch, Charging Cable, Manual, Warranty Card",BSW203,"Oracle WristPhone - 4G SIM/LTE/WiFi, Android OS, Play store & Phone Notification",Square,Black,Yes,Yes,Heart Rate Sensor,Lithium Ion,120 min,Upto 4 hours depending upon usage,Covers Manufacturing Defects,Contact android@boltt.com to claim warranty Or call on 022-69089888. Replacement will be given by the brand against manufacturing defects.,Manufacturing Defects,
"Cult Shock X 1.43"" AMOLED, 420mAh Battery, 850 NITS, AOD, Bluetooth calling, Rugged Smartwatch  (Black Strap, Free Size)","₹1,799","1,421 Ratings",263 Reviews,,,,,"Smartwatch, Charging Cable, User Manual, Warranty Card, cult.sport Voucher",CSW09,"Shock X 1.43"" AMOLED, 420mAh Battery, 850 NITS, AOD, Bluetooth calling, Rugged",Round,Black,Yes,Yes,"SpO2, Heart Rate Sensor, Accelerometer, Barometer, Pedometer,",,,Upto 10 Days,Covers Manufacturing Defects,Please reach out to us at hello@cultsport.com or 1800-572-6303/1800-572-6402 for warranty claims,Manufacturing Defects,
"Boult CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Alloy Frame, IP67, SpO2 Tracking Smartwatch  (Silver Strap, Free Size)","₹2,399","27,881 Ratings","1,978 Reviews",47 mm,13 mm,56.5 g,46 mm,"Smartwatch, User Manual, Charging Cable, Warranty Card",Crown R Pro,"CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Alloy Frame, IP67, SpO2 Tracking",Round,Silver,Yes,Yes,"Real Heart Rate, Real SPO2, Pedometer",Lithium Polymer,150 min,Upto 7 Days,1 Year Warranty from the Date of Purchase,Contact : Ph : Ph : +919555602502 / Mail : support@boultaudio.com,Any Kind of Technical Issue,
"Fire-Boltt Supernova 45.2mm (1.78) AMOLED 368*448px Res,BT Calling and 123 Sports Modes Smartwatch  (Black Strap, Free Size)","₹1,999","65,839 Ratings","12,070 Reviews",39.62 mm,12.42 MM,49.8 g,258 mm,"1 Smartwatch, 1 Charging Cable, 1 Manual",BSW083,"Supernova 45.2mm (1.78) AMOLED 368*448px Res,BT Calling and 123 Sports Modes",Square,Black,Yes,Yes,"SpO2, Heart Rate Sensor",Lithium Ion,120 min,Upto 5 Days,,,,
"OnePlus Watch 2 with Wear OS 4, Snapdragon W5 Chipset & Up to 100 hours battery Smartwatch  (Radiant Steel Strap, Free Size)","₹22,999",307 Ratings,26 Reviews,46.6 mm,,80 g,12.1 mm,"Watch Body (Including Strap) × 1, Charger × 1, Cable × 1, Quick Guide × 1, Safety Guide × 1",OPWWE231,"Watch 2 with Wear OS 4, Snapdragon W5 Chipset & Up to 100 hours battery",Round,Green,Yes,Yes,Acceleration sensor + gyroscope sensor + optical heart rate sensor + optical pulse oximeter sensor + geomagnetic sensor + light sensor+barometer,,,Upto 12 Days,,,,
"Titan Evoke with 1.43"" AMOLED Display,1000 Nits Brightness,Rotating Crown,BT Calling Smartwatch  (Black Strap, Free Size)","₹8,995",393 Ratings,22 Reviews,47.6 mm,12.3 mm,48.5 g,51.4 mm,"Smartwatch, Watch Strap, Charging Cable, Quick Start Guide, Warranty Card",90172AP01,"Evoke with 1.43"" AMOLED Display,1000 Nits Brightness,Rotating Crown,BT Calling",Round,Black,Yes,Yes,Accelerometer,Lithium Polymer,150 min,Upto 5 Days,1 Year Limited warranty,Titan customer care at 1800-266-0123 or email us at customercare@titan.co.in,Manufacturing Defects,
"Fire-Boltt King Stainless Steel 45.2mm (1.78) Amoled Display 100+ sports Bluetooth Calling Smartwatch  (Silver Strap, Free Size)","₹2,499","5,163 Ratings",870 Reviews,260 mm,12.1 mm,36.8 g,12.1 mm,"Smartwatch, Charging Cable, Manual, Warranty Card",BSW159,King Stainless Steel 45.2mm (1.78) Amoled Display 100+ sports Bluetooth Calling,Square,Silver,Yes,Yes,"SpO2, Heart Rate Sensor with Latest HRS3600 Technology, Accelerometer, Barometer, Pedometer",Lithium Ion,120 min,Upto 7 Days,Covers Manufacturing Defects,Contact infocare@boltt.com to Claim Warranty. Replacement will be given by the brand against Manufacturing Defects.,Manufacturing Defects,
"Fire-Boltt Blizzard Ultra 32.5mm (1.28) Premium Luxury Smartwatch with Jewel Studded Dial Smartwatch  (Silver Strap, Free Size)","₹1,998","7,769 Ratings","1,091 Reviews",,,,13.3 mm,"1 Smartwatch, 1 Charging Cable, 1 Manual",BSW153,Blizzard Ultra 32.5mm (1.28) Premium Luxury Smartwatch with Jewel Studded Dial,Round,Silver,Yes,Yes,"Bluetooth Calling, Heart rate measurement (whole day heart rate), blood oxygen measurement and sleep monitoring, and upload app to save data synchronously Accelerometer, Barometer, Gyro Sensor, Light Sensor.",Lithium Ion,360 min,Without Bluetooth Calling Function 20 Days With Bluetooth Calling Function 7 Days | 30 Days Standby Mode,Covers Manufacturing Defects,Customer Support,Manufacturing Defects,
"boAt Enigma Daze Women's Luxury Watch w/ SOS Location Tracker & 1.3''(3.3 cm) Screen Smartwatch  (Metallic Black Strap, Free Size)","₹1,999",,,,,,,"1 Smart Watch, Charging Cable, User Manual, Warranty Card",Enigma Daze,Enigma Daze Women's Luxury Watch w/ SOS Location Tracker & 1.3''(3.3 cm) Screen,Round,Black,Yes,Yes,"HR, SpO2, G-sensor",,,7 Days,1 Year Warranty,"Carry-in, If Customer Any Query or Complaint Please Reach Out to Us at info@imaginemarketingindia.com or Call on +912269181920",Manufacturing Defects,
"Cultsport Active T 2.01 HD Display, Single Chip BT Calling, Rotating Crown, 200 WatchFace Smartwatch  (Blue Strap, Free Size)","₹1,399","2,679 Ratings",564 Reviews,39 mm,,55 g,10.6 mm,"Smartwatch, Charging Cable, User Manual, Warranty Card, cult.sport Voucher",CSW03,"Active T 2.01 HD Display, Single Chip BT Calling, Rotating Crown, 200 WatchFace",Square,Blue,Yes,Yes,"SPO2, Heart Rate Sensor, Accelerometer, Pedometer",Lithium Polymer,90 min,Upto 7 Days; 2-3 days with BT calling,Covers Manufacturing Defects,Please reach out to us at hello@cultsport.com or 1800-572-6303/1800-572-6402 for warranty claims,Manufacturing Defects,
"Fastrack Revoltt FS1 Pro|World's First,1.96"" Super AMOLED|Highest Resolution|BT Calling Smartwatch  (Wine Red Strap, Free Size)","₹2,299","1,21,999 Ratings","8,311 Reviews",39.4 mm,13 mm,46 g,46.6 mm,"Watch Head, Watch Strap, Charging Cable, Quick Start Guide, Product Manual",38086PP12,"Revoltt FS1 Pro|World's First,1.96"" Super AMOLED|Highest Resolution|BT Calling",Square,Red,Yes,Yes,Heart Rate & SpO2,Lithium Polymer,60 min,Upto 5 Days,1 Year Limited warranty,Customer Care At 1800-266-0123 or E-Mail Us At customercare@.co.in,Manufacturing Defects,
"Cult Active TR 1.52""HD Display,Stainless Steel Build,Wireless Charging, BT Calling Smartwatch  (Silver Strap, Free Size)","₹1,999","1,573 Ratings",160 Reviews,,,,,"Smartwatch, Charging Cable, User Manual, Warranty Card, cult.sport Voucher",CSW10,"Active TR 1.52""HD Display,Stainless Steel Build,Wireless Charging, BT Calling",Round,Silver,Yes,Yes,"SpO2, Heart Rate Sensor, Accelerometer, Barometer, Pedometer",,120 min,Upto 7 Days,Covers Manufacturing Defects,Please reach out to us at hello@cultsport.com or 1800-572-6303/1800-572-6402 for warranty claims,Manufacturing Defects,
"Fastrack Optimus 2 Pro,36.3mm AMOLED Display,AOD,Metal Case,Working Crown,BT Calling,SOS Smartwatch  (Grey Strap, Free Size)","₹2,298","24,855 Ratings","1,565 Reviews",52 mm,11.5 mm,52 g,46 mm,"Smartwatch, Charging Cable, Quick Start Guide",38153SP01,"Optimus 2 Pro,36.3mm AMOLED Display,AOD,Metal Case,Working Crown,BT Calling,SOS",Round,Grey,Yes,Yes,Heart Rate & SpO2,Lithium Polymer,120 min,Upto 5 Days,1 Year Limited warranty,Titan customer care at 1800-266-0123 or email us at customercare@titan.co.in,Manufacturing Defects,
"boAt Storm call 3 w/TBT Navigation,Watch Face Studio,1.83''(4.6 cm)HD Display,QR Tray Smartwatch  (Salmon Peach Strap, Free Size)","₹1,399","2,83,057 Ratings","16,731 Reviews",,,,,"Smartwatch, Warranty Card, USB Magnetic Charging Cable?, User Manual",Storm Call 3,"Storm call 3 w/TBT Navigation,Watch Face Studio,1.83''(4.6 cm)HD Display,QR Tray",Rectangle,Beige,Yes,Yes,"HR, SpO2 & G-sensor",,,Upto 7 days,,,,
"Fire-Boltt Talk Ultra 35.3mm (1.39) Round Color HD Display Bluetooth Calling & Metal Body Smartwatch  (Pink Strap, Regular)","₹1,599","33,995 Ratings","6,633 Reviews",46.6 mm,10.4 mm,80 g,50.6 mm,"1 Smartwatch, 1 Charging Cable, 1 Manual",BSW080,Talk Ultra 35.3mm (1.39) Round Color HD Display Bluetooth Calling & Metal Body,Round,Pink,Yes,Yes,"Bluetooth Calling, Voice Assistance, Heart rate measurement (whole day heart rate), blood oxygen measurement and sleep monitoring, and upload app to save data synchronously Accelerometer, Barometer, Gyro Sensor, Light Sensor.",Lithium Ion,120 min,Upto 7 Days,,,,
"boAt Wave Fury with 1.83'' HD Display, Bluetooth Calling & Functional Crown Smartwatch  (Blue Strap, Free Size)","₹1,399","62,023 Ratings","3,076 Reviews",,,,,Wave Fury::?User Manual::Warranty Card::USB Magnetic Charging Cable,Wave Fury,"Wave Fury with 1.83'' HD Display, Bluetooth Calling & Functional Crown",Rectangle,Blue,Yes,Yes,"Accelerometer, HR and SpO2",,,7 Days,1 year warranty from the date of purchase,Reach out to us at : info@imaginemarketingindia.com,Manufacturing Defects,
"IAIR W5 Pro | 1.9Inch Super AMOLED DIsplay | Bluetooth Calling | Multi Sport Mode | Smartwatch  (Nature Black Strap, Standard)",₹748,78 Ratings,21 Reviews,,,,,"1 Smartwatch, 1 Charging cable, 1 User Manual",W5 Pro,W5 Pro | 1.9Inch Super AMOLED DIsplay | Bluetooth Calling | Multi Sport Mode |,Square,"Black, Multicolor",Yes,Yes,Gesture Sensor,Lithium Polymer,60 min,3-4 days,,,,
"boAt Storm Call 3 Plus w/ Turn by Turn Navigation, QR Tray, 4.97cm(1.96'') HD Display Smartwatch  (Cherry Blossom Strap, Free Size)","₹1,399","38,951 Ratings","2,219 Reviews",,,,,"1 x Smartwatch, 1 x Charging Cable, 1 x User Manual",Storm Call 3 Plus,"Storm Call 3 Plus w/ Turn by Turn Navigation, QR Tray, 4.97cm(1.96'') HD Display",Rectangle,Pink,Yes,Yes,"Heart Rate, SpO2, G Sensor",,,Upto 7 days,,,,
"Cult Ace X1 2.04"" Amoled Display,1000 NITS, Bluetooth Calling, 300mAh Battery, AOD Smartwatch  (Black Strap, Free Size)","₹2,499","1,931 Ratings",286 Reviews,,,,,"Smartwatch, Charging Cable, User Manual, Warranty Card, cult.sport Voucher",CSW08,"Ace X1 2.04"" Amoled Display,1000 NITS, Bluetooth Calling, 300mAh Battery, AOD",Rectangle,Black,Yes,Yes,"SpO2, Heart Rate Sensor, Accelerometer, Barometer, Pedometer,",,120 min,Upto 7 Days,Covers Manufacturing Defects,Please reach out to us at hello@cultsport.com or 1800-572-6303/1800-572-6402 for warranty claims,Manufacturing Defects,
"boAt Enigma Daze Women's Luxury Watch w/ SOS Location Tracker & 1.3''(3.3 cm) Screen Smartwatch  (Metallic Silver Strap, Free Size)","₹1,999",,,,,,,"1 Smart Watch, Charging Cable, User Manual, Warranty Card",Enigma Daze,Enigma Daze Women's Luxury Watch w/ SOS Location Tracker & 1.3''(3.3 cm) Screen,Round,Silver,Yes,Yes,"HR, SpO2, G-sensor",,,7 Days,1 Year Warranty,"Carry-in, If Customer Any Query or Complaint Please Reach Out to Us at info@imaginemarketingindia.com or Call on +912269181920",Manufacturing Defects,
"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch  (Silver Strap, Free Size)","₹1,599","95,233 Ratings","7,301 Reviews",,,,6 mm,"User Manual, Smartwatch, Charging Cable,Warranty Card",Crown,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",Square,Silver,Yes,Yes,"Real Heart rate, SPO2, Pedometer",Lithium Polymer,150 min,Upto 5 Days,1 Year Warranty from the date of purchase,Contact : Ph : (+91)9555602502 / Mail : support@boultaudio.com,Any kind of technical issue,
"Pebble Vienna Women 1.27""Ultra HD Display,Diamond Cut Design, BT Calling, Female Health Smartwatch  (Classic Black Strap, Free Size)","₹2,499","1,068 Ratings",168 Reviews,,,,,"1N Smartwatch, 1N Wireless Charger, 1N User Manual, 1N Warranty Card",PFB80,"Vienna Women 1.27""Ultra HD Display,Diamond Cut Design, BT Calling, Female Health",Round,Black,Yes,Yes,G-Sensor,Lithium Polymer,120 min,5 Days,1 Year Replacement Guarantee,Replacement Guarantee,Manufacturing Defects,
"Fire-Boltt Epic with 42.9mm (1.69) 2.5D Curved Glass,SPO2, Heart Rate tracking, Touchscreen Smartwatch  (Red Strap, Free Size)","₹1,199","80,995 Ratings","11,016 Reviews",40.5 mm,10.5 mm,23 g,35 mm,"Smartwatch, Charging Cable, Manual, Warranty Card",BSW045,"Epic with 42.9mm (1.69) 2.5D Curved Glass,SPO2, Heart Rate tracking, Touchscreen",Square,Red,Yes,Yes,"SpO2, Heart Rate Sensor HRS3300, Accelerometer 3-Axis Sens, Barometer, Pedometer SC7A20.",Lithium Ion,120 minutes,Upto 7 Days,Covers Manufacturing Defects,Contact infocare@boltt.com to Claim Warranty. Replacement will be given by the brand against Manufacturing Defects.,Manufacturing Defects,
"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch  (Orange Strap, Free Size)","₹1,399","95,233 Ratings","7,301 Reviews",,,,6 mm,"User Manual, Smartwatch, Charging Cable,Warranty Card",Crown,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",Square,Orange,Yes,Yes,"Real Heart rate, SPO2, Pedometer",Lithium Polymer,150 min,Upto 5 Days,1 Year Warranty from the date of purchase,Contact : Ph : (+91)9555602502 / Mail : support@boultaudio.com,Any kind of technical issue,
"Pebble Vogue 1.96"" Amoled Always On Display,Magnetic Strap, BT Calling, Rotating Crown Smartwatch  (Blue Strap, Free Size)","₹2,099","4,947 Ratings",912 Reviews,10 mm,,56 g,10 10,"1N Smartwatch, 1N User Manual, 1N Warranty, 1N Magentic Charging Cable",PFB202,"Vogue 1.96"" Amoled Always On Display,Magnetic Strap, BT Calling, Rotating Crown",Rectangle,Blue,Yes,Yes,G-Sensor,Lithium Polymer,120 min,5 Days,1 Year Replacement Guarantee,"Policy: Pebble smartwatches comes with 12 months of Replacement Guarantee. To claim the Warranty, kindly register the product on pebblecart.com within 10 days of your purchase. Reach out to us at support@pebblecart.com/+91 8800271651 for all technical support. Product registration is mandatory within 10 days of purchase.",Manufacturing Defects,
